case_id,case_number,date_time,primary_type,description,location_description,district,ward,criminal_id,
10301907,HY490291,11/05/2015 12:55:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,12,25,10,
10301909,HY490274,11/05/2015 12:45:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,5,9,9,
10301910,HY490270,11/05/2015 01:08:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",12,25,10,
10301921,HY490280,11/05/2015 01:10:00 PM,ASSAULT,AGG PO HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",9,12,69,
10301931,HY490289,11/05/2015 11:15:00 AM,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",9,14,28,
10301949,HY490310,11/05/2015 10:50:00 AM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,4,8,18,
10301951,HY490324,11/05/2015 01:39:00 PM,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,11,28,7,
10301992,HY490303,11/05/2015 01:30:00 PM,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,5,9,102,
10302018,HY490361,11/05/2015 01:30:00 PM,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",1,2,113,
10302026,HY490190,11/05/2015 12:03:00 PM,NARCOTICS,POSS: CRACK,STREET,8,16,27,
10302051,HY490103,11/05/2015 10:34:00 AM,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),3,5,32,
10302055,HY490371,11/05/2015 01:30:00 PM,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,9,16,82,
10302061,HY490252,11/05/2015 12:50:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,10,24,16,
10302064,HY490267,11/05/2015 01:00:00 PM,CRIMINAL TRESPASS,TO VEHICLE,POLICE FACILITY/VEH PARKING LOT,7,16,84,
10302077,HY490368,11/05/2015 01:50:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,10,24,36,
10302082,HY490268,11/05/2015 01:08:00 PM,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,7,15,161,
10302084,HY490379,11/05/2015 02:02:00 PM,CRIMINAL TRESPASS,TO LAND,BANK,1,2,23,
10302088,HY490395,11/05/2015 02:22:00 PM,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,RESIDENCE PORCH/HALLWAY,11,2,7,
10302089,HY490442,11/05/2015 02:50:00 PM,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,VACANT LOT/LAND,7,15,86,
10302093,HY490261,11/05/2015 10:30:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,11,28,154,
10302094,HY490416,11/05/2015 02:11:00 PM,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",14,1,123,
10302106,HY490409,11/05/2015 02:25:00 PM,NARCOTICS,POSS: HEROIN(WHITE),RESIDENTIAL YARD (FRONT/BACK),11,28,7,
10302117,HY490427,11/05/2015 02:00:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,10,24,16,
10302118,HY490476,11/05/2015 02:20:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",8,14,27,
10302122,HY490457,11/05/2015 02:23:00 PM,NARCOTICS,FOUND SUSPECT NARCOTICS,VEHICLE NON-COMMERCIAL,8,14,27,
10302134,HY490410,11/05/2015 10:17:00 AM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"SCHOOL, PUBLIC, BUILDING",12,2,131,
10302145,HY490502,11/05/2015 03:53:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,2,3,66,
10302147,HY490394,11/05/2015 01:50:00 PM,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,11,28,104,
10302150,HY490524,11/05/2015 03:50:00 PM,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,7,17,86,
10302156,HY490551,11/05/2015 02:45:00 PM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,"SCHOOL, PUBLIC, BUILDING",8,14,52,
10302160,HY490318,11/04/2015 03:00:00 PM,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SIDEWALK,3,5,129,
10302164,HY490520,11/05/2015 03:55:00 PM,OTHER OFFENSE,PAROLE VIOLATION,STREET,2,3,6,
10302166,HY490489,11/05/2015 03:45:00 PM,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",2,3,33,
10302171,HY490290,11/05/2015 12:28:00 PM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,6,21,15,
10302179,HY490124,11/05/2015 11:14:00 AM,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,STREET,1,2,113,
10302190,HY490540,11/05/2015 04:30:00 PM,THEFT,$500 AND UNDER,CONVENIENCE STORE,7,17,70,
10302198,HY490643,11/05/2015 05:20:00 PM,NARCOTICS,POSS: CRACK,SIDEWALK,11,28,7,
10302212,HY490602,11/05/2015 04:41:00 PM,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,11,27,154,
10302217,HY490669,11/04/2015 11:20:00 PM,NARCOTICS,MANU/DELIVER:COCAINE,APARTMENT,14,35,1,
10302239,HY490543,11/05/2015 03:45:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,14,32,95,
10302242,HY490411,11/05/2015 02:45:00 PM,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,10,12,16,
10302244,HY490617,11/05/2015 04:07:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,2,3,66,
10302247,HY490568,11/05/2015 04:15:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,6,21,15,
10023085,HY212749,03/28/2015 01:30:00 PM,BATTERY,SIMPLE,ABANDONED BUILDING,11,24,47,
10302263,HY490466,11/05/2015 03:40:00 PM,NARCOTICS,POSS: HEROIN(WHITE),"SCHOOL, PUBLIC, BUILDING",10,24,36,
10302268,HY490714,11/05/2015 06:00:00 PM,NARCOTICS,POSS: HEROIN(WHITE),STREET,6,17,12,
10302270,HY490791,11/05/2015 01:11:00 PM,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),FEDERAL BUILDING,1,2,45,
